"word","phonetic","part_of_speech_and_meanings","example_sentence","example_translation","audio_uk","audio_us"
"a","[ei,ə]","art. 一(个); 每一(个)","I saw a bird on the tree.","我看到树上有一只鸟。","https://dict.youdao.com/dictvoice?type=1&audio=a","https://dict.youdao.com/dictvoice?type=2&audio=a"
"abandon","[ə'bændən]","vt. 丢弃 放弃 抛弃; n. 放纵","He abandoned the old house.","他放弃了那座老房子。","https://dict.youdao.com/dictvoice?type=1&audio=abandon","https://dict.youdao.com/dictvoice?type=2&audio=abandon"
"ability","[ə'biliti]","n. 能力 能耐 本领","She has the ability to solve complex problems.","她有解决复杂问题的能力。","https://dict.youdao.com/dictvoice?type=1&audio=ability","https://dict.youdao.com/dictvoice?type=2&audio=ability"
"able","['eibl]","adj. 能干的 有能力的 出色的","He is able to finish the work alone.","他能够独立完成这项工作。","https://dict.youdao.com/dictvoice?type=1&audio=able","https://dict.youdao.com/dictvoice?type=2&audio=able"
"abnormal","[æb'nɔ:məl]","adj. 反常的 不正常的 不规则的 变态的; n. 不正常的人","The doctor found an abnormal result.","医生发现了异常结果。","https://dict.youdao.com/dictvoice?type=1&audio=abnormal","https://dict.youdao.com/dictvoice?type=2&audio=abnormal"
"aboard","[ə'bɔ:d]","adv. 在船(车)上 在火车上 在飞机上; prep. 上船 上飞机 上车","All passengers are now aboard.","所有乘客现在都已登机。","https://dict.youdao.com/dictvoice?type=1&audio=aboard","https://dict.youdao.com/dictvoice?type=2&audio=aboard"
"about","['əbaut]","prep. 关于 在...周围; adj. 准备; adv. 大约","This book is about science.","这本书是关于科学的。","https://dict.youdao.com/dictvoice?type=1&audio=about","https://dict.youdao.com/dictvoice?type=2&audio=about"
"above","[ə'bʌv]","prep. 在...上面 超过 高于; adj. 上面的; adv. 在上面 超过; n. 上面的东西","The picture hangs above the bed.","那幅画挂在床上方。","https://dict.youdao.com/dictvoice?type=1&audio=above","https://dict.youdao.com/dictvoice?type=2&audio=above"
"abroad","[ə'brɔ:d]","adv. (在)国外 海外(一般作表语) 到处 到国外 广为流传","She plans to study abroad.","她计划出国留学。","https://dict.youdao.com/dictvoice?type=1&audio=abroad","https://dict.youdao.com/dictvoice?type=2&audio=abroad"
"absence","['æbsəns]","n. 缺席 不在场 缺乏","His absence was noticed by the teacher.","老师注意到了他的缺席。","https://dict.youdao.com/dictvoice?type=1&audio=absence","https://dict.youdao.com/dictvoice?type=2&audio=absence"
"absent","['æbsənt]","adj. 缺席的 不在场的 缺乏的; vt. 使缺席; prep. 没有","He was absent from school today.","他今天没来上学。","https://dict.youdao.com/dictvoice?type=1&audio=absent","https://dict.youdao.com/dictvoice?type=2&audio=absent"
"absolute","['æbsəlu:t]","adj. 绝对的 纯粹的 完全的 无限制的 独立的 专制的; n. 绝对的事物","This is an absolute truth.","这是一个绝对的真理。","https://dict.youdao.com/dictvoice?type=1&audio=absolute","https://dict.youdao.com/dictvoice?type=2&audio=absolute"
"absolutely","['æbsəlu:tli]","adv. 独立地 完全地 绝对地","I absolutely agree with you.","我完全同意你。","https://dict.youdao.com/dictvoice?type=1&audio=absolutely","https://dict.youdao.com/dictvoice?type=2&audio=absolutely"
"absorb","[əb'sɔ:b]","vt. 吸收 吸纳 吸引...的注意 吞并 使专心","Plants absorb sunlight.","植物吸收阳光。","https://dict.youdao.com/dictvoice?type=1&audio=absorb","https://dict.youdao.com/dictvoice?type=2&audio=absorb"
"abstract","['æbstrækt]","adj. 抽象的 理论的; n. 摘要 抽象的东西; vt. 移除 摘要 偷; vi. 做摘要","This concept is very abstract.","这个概念非常抽象。","https://dict.youdao.com/dictvoice?type=1&audio=abstract","https://dict.youdao.com/dictvoice?type=2&audio=abstract"
"abundant","[ə'bʌndənt]","adj. 丰富的 充裕的 大量的","Water is abundant in this area.","这个地区水资源丰富。","https://dict.youdao.com/dictvoice?type=1&audio=abundant","https://dict.youdao.com/dictvoice?type=2&audio=abundant"
"abuse","[ə'bju:z]","vt. 滥用 辱骂 虐待; n. 滥用 恶习","He abused his power.","他滥用了自己的权力。","https://dict.youdao.com/dictvoice?type=1&audio=abuse","https://dict.youdao.com/dictvoice?type=2&audio=abuse"
"academic","[.ækə'demik]","adj. 学院的 理论的 学术性的; n. 教学人员 学术人员","She writes academic papers.","她写学术论文。","https://dict.youdao.com/dictvoice?type=1&audio=academic","https://dict.youdao.com/dictvoice?type=2&audio=academic"
"academy","[ə'kædəmi]","n. 私立中学 专科院校 学院 学术 学会","He studies at a military academy.","他在一所军事学院学习。","https://dict.youdao.com/dictvoice?type=1&audio=academy","https://dict.youdao.com/dictvoice?type=2&audio=academy"
